zipCode,medianHouseholdIncome,latitude,longitude
49421,53555,43.599532,-86.069216
49423,81858,42.739168,-86.084793
49424,85478,42.832778,-86.130421
49425,62841,43.450442,-86.110575
49426,112234,42.863317,-85.887576
49428,100225,42.920207,-85.835883
49431,66336,43.964611,-86.409251
49434,178942,42.770029,-86.20771
49435,103432,43.024453,-85.835175
49436,67279,43.687483,-86.46853
49437,82805,43.463596,-86.384631
49440,46808,43.23747,-86.253396
49441,67427,43.179962,-86.286824
49442,48563,43.241841,-86.135719
49444,53054,43.177117,-86.199527
49445,84877,43.292537,-86.293883
49446,65217,43.539803,-86.378167
49448,86458,43.094383,-86.071643
49449,80917,43.793624,-86.388577
49450,50102,42.477969,-86.075032
49451,71563,43.213069,-85.967762
49452,55441,43.514595,-86.254788
